,PX_VOLUME
2016-11-01,834989
2016-11-02,674322
2016-11-03,540439
2016-11-04,736685
2016-11-07,605733
2016-11-08,669639
2016-11-09,946512
2016-11-10,686338
2016-11-11,631135
2016-11-14,704766
2016-11-15,706177
2016-11-16,658169
2016-11-17,284874
2016-11-18,155651
2016-11-21,34915
2016-11-22,826208
2016-11-23,556861
2016-11-24,556861
2016-11-25,465977
2016-11-28,734381
2016-11-29,732818
2016-11-30,1311000
2016-12-01,974805
2016-12-02,667099
2016-12-05,600782
2016-12-06,642746
2016-12-07,816879
2016-12-08,780062
2016-12-09,652040
2016-12-12,847025
2016-12-13,638396
2016-12-14,677957
2016-12-15,551759
2016-12-16,252567
2016-12-19,129990
2016-12-20,26172
2016-12-21,471993
2016-12-22,393487
2016-12-23,285166
2016-12-26,285166
2016-12-27,277306
2016-12-28,322535
2016-12-29,360194
2016-12-30,271094
2017-01-02,271094
2017-01-03,727793
2017-01-04,512641
2017-01-05,517362
2017-01-06,528333
2017-01-09,564893
2017-01-10,632573
2017-01-11,815846
2017-01-12,660703
2017-01-13,477986
2017-01-16,477986
2017-01-17,606023
2017-01-18,236238
2017-01-19,122593
2017-01-20,34880
2017-01-23,455333
2017-01-24,520285
2017-01-25,589709
2017-01-26,578065
2017-01-27,495556
2017-01-30,486309
2017-01-31,586676
2017-02-01,577243
2017-02-02,492553
2017-02-03,462616
2017-02-06,425085
2017-02-07,624057
2017-02-08,767379
2017-02-09,610196
2017-02-10,596449
2017-02-13,586034
2017-02-14,493022
2017-02-15,463638
2017-02-16,343363
2017-02-17,195352
2017-02-20,195352
2017-02-21,44052
2017-02-22,499480
2017-02-23,529880
2017-02-24,395258
2017-02-27,394380
2017-02-28,593909
2017-03-01,491289
2017-03-02,638390
2017-03-03,436360
2017-03-06,503692
2017-03-07,494677
2017-03-08,963392
2017-03-09,1073506
2017-03-10,796960
2017-03-13,601362
2017-03-14,857711
2017-03-15,655788
2017-03-16,516853
2017-03-17,172340
2017-03-20,142258
2017-03-21,28084
2017-03-22,680849
2017-03-23,499878
2017-03-24,421027
2017-03-27,466176
2017-03-28,502377
2017-03-29,548615
2017-03-30,580668
2017-03-31,527607
2017-04-03,440724
2017-04-04,532054
2017-04-05,651398
2017-04-06,473019
2017-04-07,796437
2017-04-10,565439
2017-04-11,598003
2017-04-12,629805
2017-04-13,480835
2017-04-14,480835
2017-04-17,326340
2017-04-18,202043
2017-04-19,133173
2017-04-20,33748
2017-04-21,687474
2017-04-24,517897
2017-04-25,587240
2017-04-26,655717
2017-04-27,771189
2017-04-28,633992
2017-05-01,364386
2017-05-02,702375
2017-05-03,691319
2017-05-04,943959
2017-05-05,1021610
2017-05-08,785055
2017-05-09,701944
2017-05-10,819796
2017-05-11,661783
2017-05-12,537490
2017-05-15,687153
2017-05-16,589212
2017-05-17,650107
2017-05-18,242754
2017-05-19,146452
2017-05-22,30006
2017-05-23,584139
2017-05-24,736341
2017-05-25,1147389
2017-05-26,763920
2017-05-29,763920
2017-05-30,663486
2017-05-31,779144
2017-06-01,774478
2017-06-02,802662
2017-06-05,710199
2017-06-06,825056
2017-06-07,1182327
2017-06-08,927695
2017-06-09,735933
2017-06-12,666765
2017-06-13,783320
2017-06-14,924408
2017-06-15,500938
2017-06-16,191824
2017-06-19,123943
2017-06-20,29573
2017-06-21,1071747
2017-06-22,668830
2017-06-23,690906
2017-06-26,661354
2017-06-27,759115
2017-06-28,753375
2017-06-29,768946
2017-06-30,677408
2017-07-03,517621
2017-07-04,517621
2017-07-05,1173581
2017-07-06,969676
2017-07-07,975914
2017-07-10,848570
2017-07-11,1010691
2017-07-12,963505
2017-07-13,748971
2017-07-14,742895
2017-07-17,560633
2017-07-18,208420
2017-07-19,140677
2017-07-20,23242
2017-07-21,769438
2017-07-24,707910
2017-07-25,885700
2017-07-26,887864
2017-07-27,880757
2017-07-28,771225
2017-07-31,781539
2017-08-01,1008583
2017-08-02,847722
2017-08-03,837763
2017-08-04,745664
2017-08-07,831374
2017-08-08,924240
2017-08-09,858250
2017-08-10,1135440
2017-08-11,804237
2017-08-14,763241
2017-08-15,770358
2017-08-16,815544
2017-08-17,608314
2017-08-18,253069
2017-08-21,129192
2017-08-22,38396
2017-08-23,701693
2017-08-24,831358
2017-08-25,646518
2017-08-28,921285
2017-08-29,895643
2017-08-30,895643
2017-08-31,882983
2017-09-01,915708
2017-09-04,915708
2017-09-05,742808
2017-09-06,788963
2017-09-07,702514
2017-09-08,843760
2017-09-11,774468
2017-09-12,676040
2017-09-13,706925
2017-09-14,709035
2017-09-15,433597
2017-09-18,189605
2017-09-19,143379
2017-09-20,35489
2017-09-21,580569
2017-09-22,473795
2017-09-25,701244
2017-09-26,709515
2017-09-27,637035
2017-09-28,801816
2017-09-29,551982
2017-10-02,600933
2017-10-03,462735
2017-10-04,598836
2017-10-05,654385
2017-10-06,743114
2017-10-09,505079
