,XOM,MRO,OXY
2016-01-25,17086643,19509580,5622683
2016-01-26,18724704,16346029,5580941
2016-01-27,18106113,27289222,6212392
2016-01-28,16157715,20994430,7598531
2016-01-29,25161887,20678011,10015306
2016-02-01,16754164,17658134,6053990
2016-02-02,21404223,19959918,5763104
2016-02-03,25873717,23844281,6419586
2016-02-04,23658665,33500297,9267260
2016-02-05,26719850,29574042,6392817
2016-02-08,26601176,45568024,6595953
2016-02-09,18418094,24990041,4970495
2016-02-10,16610943,21711886,7296964
2016-02-11,19331627,36852987,6039267
2016-02-12,16687846,30427689,5024932
2016-02-15,16687846,30427689,5024932
2016-02-16,15912159,22438863,6296607
2016-02-17,17006669,63685156,6539832
2016-02-18,14873699,55035595,4878554
2016-02-19,13615902,38684766,5546984
2016-02-22,14595198,34565207,4665069
2016-02-23,11041630,28066293,4214663
2016-02-24,13777543,18799310,3447371
2016-02-25,13706441,20805594,2522903
2016-02-26,14343253,36421147,3347839
2016-02-29,18903553,38489408,4650975
2016-03-01,15730643,273996613,4472145
2016-03-02,14094352,74553133,4522414
2016-03-03,13216192,65454090,6663151
2016-03-04,18402742,86997016,5744777
2016-03-07,18945555,57536933,6939634
2016-03-08,14003912,35596327,7144897
2016-03-09,14139276,30862013,5721562
2016-03-10,15898276,33998333,4637739
2016-03-11,15370176,31847020,3925331
2016-03-14,13344595,28444971,2938192
2016-03-15,9213045,23912140,4179976
2016-03-16,11492063,32600667,3601495
2016-03-17,13673859,30781255,4337138
2016-03-18,19637014,41238342,5978247
2016-03-21,8385359,26579705,2326964
2016-03-22,13005080,22927146,3321014
2016-03-23,12748876,31271285,4478906
2016-03-24,9368327,28978679,5142178
2016-03-25,9368327,28978679,5142178
2016-03-28,7490353,22606325,2499595
2016-03-29,9977887,23919733,3324714
2016-03-30,10807029,22290266,3037557
2016-03-31,13896906,40209701,3304675
2016-04-01,12235334,29055373,2629544
2016-04-04,8050167,21890197,3233764
2016-04-05,10446841,21365951,4191365
2016-04-06,9320161,26238640,4120751
2016-04-07,8267069,23358529,2558835
2016-04-08,9376167,24392705,3212668
2016-04-11,9924974,24378122,3170905
2016-04-12,9986128,43935656,4211047
2016-04-13,9235668,30817497,3753218
2016-04-14,10625784,21211645,6062730
2016-04-15,11280211,19535456,4782314
2016-04-18,9096983,23999581,3763102
2016-04-19,10354460,27614440,4027198
2016-04-20,15247074,26467005,4187240
2016-04-21,12075295,23556958,3228825
2016-04-22,9150823,26857167,2851904
2016-04-25,8076440,21633995,3065239
2016-04-26,9425865,24287408,3224332
2016-04-27,10463503,29916298,3678644
2016-04-28,11276191,21467720,3683334
2016-04-29,17885945,27966607,4495288
2016-05-02,10273739,26223889,3354917
2016-05-03,10137435,25388299,4191874
2016-05-04,10601143,25287689,6165413
2016-05-05,8721081,26903657,6338818
2016-05-06,7968354,21632791,5258006
2016-05-09,11159506,21257571,3936380
2016-05-10,12509083,17102274,4696343
2016-05-11,11660167,22812100,4523357
2016-05-12,10720505,25073713,3639480
2016-05-13,9721139,15099231,3689927
2016-05-16,8638664,17294228,4468427
2016-05-17,9835599,16167186,5319278
2016-05-18,9680277,15051505,6095521
2016-05-19,14397937,17303595,3963816
2016-05-20,13191925,17178234,3411321
2016-05-23,11766051,16878221,3334451
2016-05-24,10056575,18427501,3620728
2016-05-25,9581349,16999922,3399508
2016-05-26,7867901,17242049,2286839
2016-05-27,7505941,16136417,2203127
2016-05-30,7505941,16136417,2203127
2016-05-31,13178770,19678387,4584756
2016-06-01,7994794,17141817,3041913
2016-06-02,9837535,13965133,2244645
2016-06-03,9367092,14767936,2562046
2016-06-06,8572963,16295363,3296114
2016-06-07,12889082,24183967,4531794
2016-06-08,9982959,20238283,4143364
2016-06-09,8974331,14134252,3846622
2016-06-10,10353815,16791191,4066277
2016-06-13,11369954,17032334,5074646
2016-06-14,10161030,12107606,3880269
2016-06-15,10655773,13088068,3104672
2016-06-16,12824808,16743710,3378008
2016-06-17,17483223,17879354,4062595
2016-06-20,9388528,39534040,3698005
2016-06-21,8557451,34467357,3164048
2016-06-22,8785428,21281059,3564586
2016-06-23,9464500,19493993,4104008
2016-06-24,20010494,33429453,5601379
2016-06-27,14395728,23977456,5255973
2016-06-28,13254272,19105294,4449131
2016-06-29,13920631,24163780,4330778
2016-06-30,14073677,15331686,3779265
2016-07-01,9946278,19890798,3944560
2016-07-04,9946278,19890798,3944560
2016-07-05,10744051,21129194,3599028
2016-07-06,13144408,15754792,3358286
2016-07-07,12235670,18821988,4563818
2016-07-08,9807645,17321285,3804218
2016-07-11,8335705,12502852,3204234
2016-07-12,9870813,21959693,4347538
2016-07-13,9458206,22648378,3659384
2016-07-14,9293450,12174891,4158220
2016-07-15,10334453,15297909,3886370
2016-07-18,9865850,14617613,2779439
2016-07-19,5901792,12830482,2262526
2016-07-20,7383789,17544759,1825822
2016-07-21,7759624,18176293,2027089
2016-07-22,7139681,19805424,2411371
2016-07-25,10845892,17377377,4181792
2016-07-26,12143539,14112565,2734409
2016-07-27,10037885,22775653,2975127
2016-07-28,12439249,16668890,3569989
2016-07-29,23928098,13855640,3210725
2016-08-01,22908390,20926711,4132415
2016-08-02,18919157,17163597,5563872
2016-08-03,14632941,17171066,4697109
2016-08-04,13451350,24445640,3745642
2016-08-05,9617289,16909737,3842620
2016-08-08,10492709,18392009,3377951
2016-08-09,9654554,15450839,3353236
2016-08-10,12714814,13539974,2659778
2016-08-11,11616032,13615894,2729414
2016-08-12,9986924,13455730,2151381
2016-08-15,6432580,12045657,4851615
2016-08-16,6817932,18354888,4289414
2016-08-17,7104565,20862580,3982972
2016-08-18,10342730,26905976,4390508
2016-08-19,8615269,16932769,2992238
2016-08-22,8235406,26337959,2521875
2016-08-23,6514786,29790932,2432918
2016-08-24,7985437,16495746,5357957
2016-08-25,6935261,11531870,3228074
2016-08-26,6474424,15538849,3517376
2016-08-29,7027164,9884429,3335262
2016-08-30,6441118,15529326,2309598
2016-08-31,12491437,17317245,3376581
2016-09-01,8434729,14881760,3261008
